ISBN: 1000000000000, Имя автора: е, Название книги: ае, Год: 1999 были успешно записаны
ISBN: , Имя автора: , Название книги: , Год:  не было допущено из-за: Неизвестные символы
ISBN: , Имя автора: , Название книги: , Год:  не было допущено из-за: Неизвестные символы
ISBN: , Имя автора: , Название книги: , Год:  не было допущено из-за: Неизвестные символы
ISBN: , Имя автора: , Название книги: , Год:  не было допущено из-за: Неизвестные символы
ISBN: , Имя автора: , Название книги: , Год:  не было допущено из-за: Неизвестные символы
ISBN: , Имя автора: , Название книги: , Год:  не было допущено из-за: Неизвестные символы
ISBN: , Имя автора: , Название книги: , Год:  не было допущено из-за: Неизвестные символы
ISBN: , Имя автора: , Название книги: , Год:  не было допущено из-за: Неизвестные символы
ISBN: 1000000000000, Имя автора: Z, Название книги: Z, Год: 1999 были успешно записаны
ISBN: , Имя автора: , Название книги: , Год:  не было допущено из-за: Данные были пропущены сканером
ISBN: , Имя автора: , Название книги: , Год:  не было допущено из-за: Данные были пропущены сканером
ISBN: , Имя автора: , Название книги: , Год:  не было допущено из-за: Данные были пропущены сканером
